V,E,F,countbasetissues,basetissues,countatissues,atissues,countbtissues,btissues,from,to
35,53,7.48,1,1,8,130560,7,254,30293911,30300570
12,13,7.48,2,2080,7,30592,8,98399,33100442,33573723
18,24,6.93,2,288,6,30336,8,98399,33673098,33865281
13,12,6.71,1,32,5,206,9,130816,17144296,16944802
11,10,6.71,1,128,5,110,9,130816,17144296,16944802
10,9,6.63,1,32,11,130945,4,92,30437958,33166727
18,24,6.48,2,544,6,30080,7,98335,34711701,34920341
20,24,6.48,2,4128,6,26496,7,98335,34711701,34920341
20,27,6.48,2,8224,6,22400,7,98335,33469642,33617891
19,24,6.48,2,16416,6,14208,7,98335,34711701,34920341
31,42,6.48,1,32768,7,97792,6,500,19782941,20073626
10,9,6.32,2,130,5,32876,8,32528,34627520,34286044
12,12,6.32,2,2176,8,96001,5,94,30427406,33166727
12,13,6.32,2,4224,8,93953,5,94,30427406,33166727
18,20,6.00,1,4,3,19,12,131040,33907352,34286044
63,106,5.92,1,1024,5,31232,7,254,30497614,30437958
19,21,5.92,1,1024,5,61952,7,446,16533146,16436769
86,132,5.92,2,18432,5,79360,7,254,30293911,30300570
69,102,5.92,2,67584,5,30208,7,254,30497614,30437958
83,118,5.92,2,69632,5,28160,7,254,30253560,30300570
87,126,5.92,2,81920,5,15872,7,254,30497614,30437958
19,26,5.92,1,32768,5,79360,7,191,34825514,34743527
13,12,5.66,2,34,4,32844,8,32528,34627520,34286044
12,14,5.66,2,4160,4,26112,8,100383,33395746,33212871
11,11,5.66,2,640,8,97537,4,92,30427406,33166727
11,11,5.66,2,16512,8,81665,4,92,30427406,33166727
14,14,5.66,2,8448,4,22016,8,255,34711701,34920341
13,12,5.66,1,32768,4,106,8,32528,34635204,34286044
11,10,5.48,2,4098,10,28396,3,65553,47537749,47634790
35,40,5.48,2,68,6,98474,5,29952,51845732,52168133
14,17,5.48,1,4,3,19,10,65376,54710456,54960242
11,10,5.48,2,4104,10,28390,3,65553,47537749,47634790
11,10,5.48,2,4128,10,28366,3,65553,47537749,47634790
10,9,5.48,2,576,10,31918,3,65553,47542228,47634790
11,13,5.48,2,65600,6,62976,5,181,34839697,34743527
23,25,5.48,2,4224,5,26368,6,95,33185649,33667283
64,82,5.48,2,2304,6,95744,5,94,30100021,30300570
54,73,5.48,2,65792,5,31232,6,126,30100021,30300570
13,12,5.48,2,10240,10,22254,3,65553,47537749,47634790
86,142,5.29,2,2560,4,29696,7,254,28292846,29699841
66,95,5.29,1,1024,4,29184,7,127,34743527,34844821
79,122,5.29,2,6144,4,26112,7,254,28292846,29699841
88,142,5.29,2,10240,4,22016,7,254,30230801,30413620
95,142,5.29,2,73728,4,22016,7,254,30253560,30300570
71,105,5.29,1,32768,4,90624,7,254,30502780,30300570
43,63,5.29,1,65536,4,22016,7,502,19727486,36484980
11,13,5.20,2,513,9,130432,3,26,55851770,56135169
15,14,5.20,1,4,3,74,9,130816,17092739,16833623
10,10,5.20,1,4,3,35,9,65288,2231820,2537773
14,13,5.20,2,8224,9,24142,3,65553,47537749,47634790
12,11,5.20,2,4160,9,28206,3,65553,47542228,47634790
